,0,1,2,3,4
108,利苑酒家 (灣仔),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-wan-chai,粵菜,"灣仔軒尼詩道338號北海中心1樓, Hong Kong, 香港",page - 6
109,巴依,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ba-yi,新疆菜,"西營盤水街43號, Hong Kong, 香港",page - 6
110,拉麵Jo (銅鑼灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ramen-jo-causeway-bay,拉麵,"銅鑼灣加路連山道3號, Hong Kong, 香港",page - 6
111,天外天,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/above-beyond,粵菜,"尖東科學館道17號唯港薈28樓, Hong Kong, 香港",page - 6
112,蛇王良,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/she-wong-leung,粵菜,"北角電氣道298號地下A舖, Hong Kong, 香港",page - 6
113,嚐囍煲仔小菜,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sheung-hei-claypot-rice,粵菜,"西環北街25號地下, Hong Kong, 香港",page - 6
114,坤記竹昇麵,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kwan-kee-bamboo-noodles-cheung-sha-wan,麵食,"長沙灣永隆街1號E舖, Hong Kong, 香港",page - 6
115,Roganic,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/roganic1185143,時尚歐陸菜,"銅鑼灣告士打道255號信和廣場UG層8號舖, Hong Kong, 香港",page - 6
116,甘牌燒鵝,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,燒味,"灣仔軒尼詩道226號, Hong Kong, 香港",page - 6
117,Castellana,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/castellana,意大利菜,"銅鑼灣開平道1號Cubus 10樓, Hong Kong, 香港",page - 6
118,鳳城 (北角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fung-shing-north-point,順德菜,"北角渣華道62-68號, Hong Kong, 香港",page - 6
119,福臨門 (灣仔),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fook-lam-moon-wan-chai,粵菜,"灣仔莊士敦道35-45號, Hong Kong, 香港",page - 6
120,利苑酒家 (觀塘),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,粵菜,"觀塘觀塘道418號創紀之城第5期apm 5樓L5-8, Hong Kong, 香港",page - 7
121,好到底 (元朗),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ho-to-tai-yuen-long,麵食,"元朗阜財街67號, Hong Kong, 香港",page - 7
122,麥文記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/mak-man-kee,麵食,"佐敦白加士街51號, Hong Kong, 香港",page - 7
123,一樂燒鵝,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yat-lok,燒味,"中環士丹利街34-38號, Hong Kong, 香港",page - 7
124,瑞樵閣,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chesa,瑞士菜,"尖沙咀梳士巴利道半島酒店1樓, Hong Kong, 香港",page - 7
125,鄧記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/deng-g,川菜,"灣仔皇后大道東147-149號威利商業大廈2樓, Hong Kong, 香港",page - 7
126,Takumi by Daisuke Mori,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,創新菜,"灣仔活道16號萃峯地下1號舖, Hong Kong, 香港",page - 7
127,容龍,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/dragon-inn,海鮮,"屯門青山公路19咪, Hong Kong, 香港",page - 7
128,金輝,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kam-fai,海鮮,"鯉魚門海傍道中10號, Hong Kong, 香港",page - 7
